key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
,,right,8.88100028,1,0,160,18,1,159,-5,-5,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,11.5400002,1,0,160,65,1,159,20,20,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,9.568000317,1,0,160,6,1,159,5,5,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,11.44300008,1,0,160,59,1,159,-8,-8,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,16.56400037,1,0,160,157,1,159,-125,-125,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,8.425000191,1,0,160,22,1,159,-5,-5,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,10.95900011,1,0,160,29,1,159,-5,-5,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,15.53300023,1,0,160,89,1,159,-20,-20,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,6.52699995,1,0,160,116,1,159,-50,-50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,13.97399998,1,0,160,33,1,159,8,8,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,7.99000001,1,0,160,76,1,159,20,20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,16.23400021,1,0,160,26,1,159,-5,-5,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,10.03600025,1,0,160,4,1,159,5,5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,9.887000322,1,0,160,72,1,159,20,20,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,5.903000116,1,0,160,34,1,159,8,8,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,22.1960001,1,0,160,87,1,159,-20,-20,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,5.85800004,1,0,160,144,1,159,-125,-125,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,6.765000105,1,0,160,135,1,159,125,125,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,11.85100007,1,0,160,114,1,159,-50,-50,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,13.9400003,1,0,160,36,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,13.53900027,1,0,160,56,1,159,-8,-8,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,10.84600019,1,0,160,149,1,159,-125,-125,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,8.335999966,1,0,160,71,1,159,20,20,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,12.04900026,1,0,160,73,1,159,20,20,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,19.46900034,1,0,160,53,1,159,-8,-8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,6.241000175,1,0,160,142,1,159,125,125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,9.67200017,1,0,160,155,1,159,-125,-125,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,9.092000246,1,0,160,7,1,159,5,5,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,12.05100036,1,0,160,79,1,159,20,20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,9.550000191,1,0,160,110,1,159,50,50,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,13.66100025,1,0,160,55,1,159,-8,-8,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,5.940000057,1,0,160,95,1,159,-20,-20,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,10.62800026,1,0,160,92,1,159,-20,-20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,14.41700006,1,0,160,134,1,159,125,125,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,4.169000387,1,0,160,96,1,159,50,50,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,7.619000196,1,0,160,100,1,159,50,50,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,7.318000078,1,0,160,136,1,159,125,125,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,13.5400002,1,0,160,154,1,159,-125,-125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,7.73900032,1,0,160,67,1,159,20,20,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,7.312000275,1,0,160,58,1,159,-8,-8,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,9.567000151,1,0,160,57,1,159,-8,-8,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,5.496999979,1,0,160,97,1,159,50,50,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,6.532000303,1,0,160,46,1,159,8,8,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,9.356000185,1,0,160,93,1,159,-20,-20,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,10.60599995,1,0,160,123,1,159,-50,-50,0,50,50,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,7.226000071,1,0,160,105,1,159,50,50,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,right,5.333000183,1,0,160,129,1,159,125,125,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
,,left,6.268000126,1,0,160,81,1,159,-20,-20,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,work,2020-07-04_14h26.04.152,Tymula Experiment,3.2.3,Win32,60
