key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
,,right,2.230000019,1,0,160,143,1,159,125,125,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.342000008,1,0,160,131,1,159,125,125,0,50,50,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,3.411999941,1,0,160,44,1,159,8,8,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.826999903,1,0,160,66,1,159,20,20,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.697999954,1,0,160,78,1,159,20,20,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.277999878,1,0,160,42,1,159,8,8,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.0849998,1,0,160,130,1,159,125,125,0,38,62,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,1.945999861,1,0,160,80,1,159,-20,-20,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.529999971,1,0,160,31,1,159,-5,-5,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.954999924,1,0,160,4,1,159,5,5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,4.421999931,1,0,160,93,1,159,-20,-20,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,2.718999863,1,0,160,158,1,159,-125,-125,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.191999912,1,0,160,63,1,159,-8,-8,0,13,13,0.481,74,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,4.652999878,1,0,160,138,1,159,125,125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,3.366999865,1,0,160,32,1,159,8,8,0,13,87,0,0,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.37899971,1,0,160,1,1,159,5,5,0,25,75,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,2.55099988,1,0,160,8,1,159,5,5,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,4.796000004,1,0,160,74,1,159,20,20,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,3.359999895,1,0,160,77,1,159,20,20,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,left,2.206999779,1,0,160,154,1,159,-125,-125,0,38,62,0,0,0.5,-0.5,-0.5,-0.5,-0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
,,right,2.25999999,1,0,160,94,1,159,-20,-20,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,eye,2020-07-07_11h58.00.608,Tymula Experiment,3.2.3,Win32,60
