key_resp_2.keys,key_resp_2.rt,key_resp.keys,key_resp.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials.order,Sure,OptionOne,OptionTwo,Risk,Risk2,AmbiguityBarH,Ambiguity,SureXPos,RiskXPos,OptionOneXPos,OptionTwoXPos,RiskX,participant,date,expName,psychopyVersion,OS,frameRate
,,left,1.864000082,1,0,160,37,1,159,8,8,0,38,38,0.156,24,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.69299984,1,0,160,157,1,159,-125,-125,0,38,38,0.156,24,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.832000017,1,0,160,105,1,159,50,50,0,25,75,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,1.346999884,1,0,160,28,1,159,-5,-5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,2.713999987,1,0,160,156,1,159,-125,-125,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.631999969,1,0,160,54,1,159,-8,-8,0,25,25,0.325,50,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,1.664999962,1,0,160,4,1,159,5,5,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,8.141000032,1,0,160,76,1,159,20,20,0,75,25,0,0,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,6.868999958,1,0,160,78,1,159,20,20,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,5.76699996,1,0,160,24,1,159,-5,-5,0,13,87,0,0,0.5,-0.5,-0.5,-0.5,-0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,right,3.596000195,1,0,160,87,1,159,-20,-20,0,13,13,0.481,74,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
,,left,2.90899992,1,0,160,14,1,159,5,5,0,25,25,0.325,50,-0.5,0.5,0.5,0.5,0.5,flummox,2020-06-24_00h23.56.068,Tymula Experiment,3.2.3,MacIntel,60
